movie_id_x,movie_title_x,original_title,runtime_minutes,averagerating,numvotes,primary_genre,movie_id2,id,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross
tt5247022,paterson,paterson,118.0,7.4,55285,comedy,paterson2016,54,2016-12-28,5000000,2141423,10727536,8586113
tt5301662,marshall,marshall,118.0,7.2,14419,biography,marshall2017,7,2017-10-13,12000000,10051659,10116816,65157
tt5442430,life,life,104.0,6.6,182840,horror,life2017,66,2017-03-24,58000000,30234022,100929666,70695644
tt5519340,bright,bright,117.0,6.4,147834,action,bright2017,80,2017-12-13,90000000,0,0,0
tt5738152,stronger,stronger,125.0,6.8,22,drama,stronger2017,90,2017-09-22,30000000,4211129,8786752,4575623
tt5758778,skyscraper,skyscraper,102.0,5.8,81193,action,skyscraper2018,78,2018-07-13,125000000,68420120,304115534,235695414
tt5811420,oddball,oddball,5.0,6.4,5,documentary,oddball2016,63,2016-12-06,7000000,0,10237229,10237229
tt5897002,denial,denial,93.0,7.4,25,documentary,denial2016,66,2016-09-30,10000000,4073448,9263940,5190492
tt5990474,columbus,columbus,104.0,7.2,10735,drama,columbus2017,93,2017-08-04,700000,1017107,1110511,93404
tt6017942,kin,kin,102.0,5.7,9048,action,kin2018,88,2018-08-31,30000000,5718096,10096821,4378725
tt6063050,acrimony,acrimony,120.0,5.7,6119,drama,acrimony2018,35,2018-03-30,20000000,43549096,46627836,3078740
tt6139732,aladdin,aladdin,128.0,7.4,57549,adventure,aladdin2019,81,2019-05-24,182000000,246734314,619234314,372500000
tt6182908,smallfoot,smallfoot,96.0,6.7,23295,adventure,smallfoot2018,69,2018-09-28,80000000,83240103,213691277,130451174
tt6266538,vice,vice,132.0,7.2,72855,biography,vice2018,100,2018-12-25,60000000,47836282,70883171,23046889
tt6306064,adrift,adrift,96.0,6.6,34115,action,adrift2018,89,2018-06-01,35000000,31445011,57897191,26452180
tt6476140,serenity,serenity,106.0,5.3,17904,drama,serenity2019,93,2019-01-25,25000000,8547045,11367029,2819984
tt6499752,upgrade,upgrade,100.0,7.6,104978,action,upgrade2018,89,2018-06-01,3000000,11977130,16553285,4576155
tt6512428,indivisible,indivisible,119.0,5.6,812,drama,indivisible2018,93,2018-10-26,2700000,3511417,3588305,76888
tt6823368,glass,glass,129.0,6.8,133793,drama,glass2019,100,2019-01-18,20000000,111035005,245303505,134268500
