release_date_x,movie_title_x,production_budget,domestic_gross,worldwide_gross,release_year_x,foreign_gross,movie_id,original_language,popularity,vote_average,vote_count,primary_genre
2017-11-03,thor: ragnarok,180000000,315058289,846980024,2017,531921735,thorragnarok20171103,en,43.45,7.5,11380,action
2014-05-30,maleficent,180000000,241407328,758536735,2014,517129407,maleficent20140530,en,19.274,7.0,8143,fantasy
2016-11-18,fantastic beasts and where to find them,180000000,234037575,802402853,2016,568365278,fantasticbeastsandwheretofindthem20161118,en,28.563,7.4,12152,adventure
2016-07-01,the legend of tarzan,180000000,126643061,348902025,2016,222258964,thelegendoftarzan20160701,en,14.797,5.8,4102,action
2011-11-23,hugo,180000000,73864507,180047784,2011,106183277,hugo20111123,en,12.936,7.1,4124,adventure
2017-07-21,valerian and the city of a thousand planets,180000000,40479370,215098356,2017,174618986,valerianandthecityofathousandplanets20170721,en,24.003,6.6,4149,adventure
2016-05-27,x-men: apocalypse,178000000,155442489,542537546,2016,387095057,xmenapocalypse20160527,en,39.293,6.5,8348,action
2018-08-10,the meg,178000000,145443742,529530715,2018,384086973,themeg20180810,en,31.397,5.9,2896,action
2014-06-06,edge of tomorrow,178000000,100206256,370541256,2014,270335000,edgeoftomorrow20140606,en,19.753,7.6,8047,action
2016-04-15,the jungle book,175000000,364001123,962854547,2016,598853424,thejunglebook20160415,en,20.129,6.8,5257,adventure
2015-06-19,inside out,175000000,356461711,854235992,2015,497774281,insideout20150619,en,24.797,8.0,12691,drama
2017-07-07,spider-man: homecoming,175000000,334201140,880166350,2017,545965210,spidermanhomecoming20170707,en,46.775,7.4,11585,action
2016-08-05,suicide squad,175000000,325100054,746059887,2016,420959833,suicidesquad20160805,en,16.53,5.9,13533,action
2017-11-22,coco,175000000,209726015,798008101,2017,588282086,coco20171122,en,25.961,8.2,8669,animation
2018-11-21,ralph breaks the internet,175000000,201091711,524283695,2018,323191984,ralphbreakstheinternet20181121,en,48.057,7.2,2626,family
2017-06-16,cars 3,175000000,152901115,383541369,2017,230640254,cars320170616,en,18.427,6.7,2596,adventure
2017-05-12,king arthur: legend of the sword,175000000,39175066,139630336,2017,100455270,kingarthurlegendofthesword20170512,en,21.793,6.5,3305,action
2013-12-25,47 ronin,175000000,38362475,151716815,2013,113354340,47ronin20131225,en,25.049,6.0,2080,drama
2018-06-22,jurassic world: fallen kingdom,170000000,417719760,1305772799,2018,888053039,jurassicworldfallenkingdom20180622,en,34.958,6.5,5995,action
2014-08-01,guardians of the galaxy,170000000,333172112,770867516,2014,437695404,guardiansofthegalaxy20140801,en,49.606,7.9,17958,action
2010-05-07,iron man 2,170000000,312433331,621156389,2010,308723058,ironman220100507,en,28.515,6.8,12368,adventure
2014-04-04,captain america: the winter soldier,170000000,259746958,714401889,2014,454654931,captainamericathewintersoldier20140404,en,18.073,7.7,11034,action
2014-07-11,dawn of the planet of the apes,170000000,208545589,710644566,2014,502098977,dawnoftheplanetoftheapes20140711,en,27.641,7.3,7080,science_fiction
2012-06-01,snow white and the huntsman,170000000,155136755,401021746,2012,245884991,snowwhiteandthehuntsman20120601,en,21.233,5.9,5258,adventure
2004-05-07,van helsing,170000000,120150546,300150546,2004,180000000,vanhelsing20040507,en,15.259,6.1,3047,horror
2015-05-22,tomorrowland,170000000,93436322,206627518,2015,113191196,tomorrowland20150522,en,20.136,6.2,4610,adventure
2016-05-27,alice through the looking glass,170000000,77042381,276928112,2016,199885731,alicethroughthelookingglass20160527,en,16.642,6.5,3803,adventure
2016-11-04,doctor strange,165000000,232641920,676404566,2016,443762646,doctorstrange20161104,en,33.035,7.3,12582,action
2014-11-07,big hero 6,165000000,222527828,652127828,2014,429600000,bighero620141107,en,36.92,7.8,10176,adventure
2010-03-26,how to train your dragon,165000000,217581232,494870992,2010,277289760,howtotrainyourdragon20100326,en,28.734,7.7,7610,fantasy
2012-11-02,wreck-it ralph,165000000,189412677,496511521,2012,307098844,wreckitralph20121102,en,22.967,7.3,7780,family
2014-11-05,interstellar,165000000,188017894,666379375,2014,478361481,interstellar20141105,en,28.44,8.2,18597,adventure
2016-06-24,independence day: resurgence,165000000,103144286,384169424,2016,281025138,independencedayresurgence20160624,en,15.732,5.1,3911,action
2017-03-17,beauty and the beast,160000000,504014165,1259199706,2017,755185541,beautyandthebeast20170317,en,31.793,6.9,11023,family
2018-12-21,aquaman,160000000,335061807,1146894640,2018,811832833,aquaman20181221,en,38.102,6.8,6155,action
2010-07-16,inception,160000000,292576195,835524642,2010,542948447,inception20100716,en,27.92,8.3,22186,action
2014-05-16,godzilla,160000000,200676069,529076069,2014,328400000,godzilla20140516,en,24.982,6.1,5053,action
2011-06-03,x-men: first class,160000000,146408305,355408305,2011,209000000,xmenfirstclass20110603,en,1.447,7.2,8211,action
2016-06-10,warcraft,160000000,47225655,425522281,2016,378296626,warcraft20160610,en,21.464,6.3,4071,action
2016-09-30,deepwater horizon,156000000,61433527,122603824,2016,61170297,deepwaterhorizon20160930,en,13.685,6.7,2606,drama
2010-12-10,the chronicles of narnia: the voyage of the dawn treader,155000000,104386950,418186950,2010,313800000,thechroniclesofnarniathevoyageofthedawntreader20101210,en,17.382,6.3,3196,adventure
2015-07-01,terminator: genisys,155000000,89760956,432150894,2015,342389938,terminatorgenisys20150701,en,31.11,5.9,5309,science_fiction
2018-03-23,pacific rim: uprising,155000000,59874525,290930148,2018,231055623,pacificrimuprising20180323,en,30.019,5.9,2213,action
2017-07-14,war for the planet of the apes,152000000,146880162,489592267,2017,342712105,warfortheplanetoftheapes20170714,en,23.445,7.0,5235,drama
2017-06-02,wonder woman,150000000,412563408,821133378,2017,408569970,wonderwoman20170602,en,31.618,7.3,12566,adventure
2016-03-04,zootopia,150000000,341268248,1019429616,2016,678161368,zootopia20160304,en,27.549,7.7,9977,animation
2016-11-23,moana,150000000,248757044,637517365,2016,388760321,moana20161123,en,4.419,7.5,6907,adventure
2013-11-08,thor: the dark world,150000000,206362140,644602516,2013,438240376,thorthedarkworld20131108,en,31.014,6.7,10171,action
