movie_id_x,movie_title_x,original_title_x,runtime_minutes,genres,averagerating,numvotes,primary_genre_x,movie_id2,genre_ids,id,original_language,popularity,release_date,vote_average,vote_count
tt4834762,these daughters of mine,moje córki krowy,88.0,"comedy,drama",6.7,750,comedy,thesedaughtersofmine2015,"35, 18",363969,pl,1.536,2015-11-09,6.6,14
tt4835086,we are x,we are x,93.0,"documentary,music",7.7,773,documentary,wearex2016,"10402, 99",376391,en,1.535,2016-10-21,8.3,8
tt4836440,state of play: trophy kids,state of play: trophy kids,57.0,documentary,7.3,161,documentary,stateofplaytrophykids2013,99,248861,en,1.247,2013-12-05,6.8,5
tt4836580,the dwarves of demrel,the dwarves of demrel,90.0,fantasy,3.7,147,fantasy,thedwarvesofdemrel2018,"14, 27, 53",422047,en,2.198,2018-09-14,5.0,2
tt4837126,love everlasting,love everlasting,93.0,romance,6.2,528,romance,loveeverlasting2016,18,426203,en,3.987,2016-11-14,6.9,74
tt4838328,moko jumbie,moko jumbie,93.0,drama,8.6,10,drama,mokojumbie2017,18,461952,en,0.6,2017-06-20,6.0,1
tt4838334,the fight within,the fight within,94.0,"action,romance,sport",5.9,242,action,thefightwithin2016,"28, 10749",429645,en,0.666,2016-08-12,3.5,2
tt4838534,the sweet life,the sweet life,90.0,"comedy,drama,romance",6.2,1407,comedy,thesweetlife2016,"10749, 18, 35",401484,en,2.599,2016-06-07,7.1,22
tt4839118,black wake,black wake,91.0,"horror,sci-fi,thriller",1.9,194,horror,blackwake2018,"27, 878, 53, 10770",445867,en,2.522,2018-08-07,1.5,4
tt4840666,looney tunes: rabbits run,looney tunes: rabbits run,74.0,"adventure,animation,comedy",5.6,721,adventure,looneytunesrabbitsrun2015,"35, 16",349045,en,2.242,2015-08-04,5.5,14
tt4841610,parrot heads,parrot heads,88.0,"documentary,music",6.2,56,documentary,parrotheads2017,"10402, 99",430966,en,0.6,2017-01-03,7.0,2
tt4841640,janoskians: untold and untrue,janoskians: untold and untrue,88.0,comedy,5.0,136,comedy,janoskiansuntoldanduntrue2015,35,360220,en,0.827,2015-08-28,5.3,5
tt4842646,the most hated woman in america,the most hated woman in america,91.0,"biography,drama,history",6.1,3519,biography,themosthatedwomaninamerica2017,"80, 18",401743,en,5.97,2017-03-14,6.0,82
tt4843344,speech & debate,speech & debate,105.0,"comedy,drama",6.0,1065,comedy,speechdebate2017,"35, 18",348391,en,3.268,2017-04-07,5.9,43
tt4846232,good time,good time,101.0,"crime,drama,thriller",7.3,52305,crime,goodtime2017,"80, 18, 53",429200,en,11.494,2017-08-11,7.1,805
tt4846318,into the inferno,into the inferno,104.0,documentary,7.2,5628,documentary,intotheinferno2016,99,360029,en,5.632,2016-09-07,7.0,74
tt4846340,hidden figures,hidden figures,127.0,"biography,drama,history",7.8,171131,biography,hiddenfigures2016,"18, 36",381284,en,14.751,2016-12-10,8.0,4710
tt4848010,fits and starts,fits and starts,80.0,comedy,5.8,206,comedy,fitsandstarts2017,35,438431,en,0.715,2017-03-10,7.0,3
