genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,primary_genre
"12, 14, 10751",12444,en,harry potter and the deathly hallows: part 1,33.533,2010-11-19,harry potter and the deathly hallows: part 1,7.7,10788,2010,adventure
"14, 12, 16, 10751",10191,en,how to train your dragon,28.734,2010-03-26,how to train your dragon,7.7,7610,2010,fantasy
"12, 28, 878",10138,en,iron man 2,28.515,2010-05-07,iron man 2,6.8,12368,2010,adventure
"28, 878, 12",27205,en,inception,27.92,2010-07-16,inception,8.3,22186,2010,action
"12, 14, 10751",32657,en,percy jackson & the olympians: the lightning thief,26.691,2010-02-11,percy jackson & the olympians: the lightning thief,6.1,4229,2010,adventure
"28, 12, 14, 878",19995,en,avatar,26.526,2009-12-18,avatar,7.4,18676,2009,action
"16, 10751, 35",10193,en,toy story 3,24.445,2010-06-17,toy story 3,7.7,8340,2010,animation
"16, 10751, 35",20352,en,despicable me,23.673,2010-07-09,despicable me,7.2,10057,2010,animation
"16, 28, 35, 10751, 878",38055,en,megamind,22.855,2010-11-04,megamind,6.8,3635,2010,animation
"10751, 14, 12",12155,en,alice in wonderland,22.02,2010-03-05,alice in wonderland,6.6,8713,2010,family
"53, 12, 28",27578,en,the expendables,21.517,2010-08-03,the expendables,6.1,4647,2010,thriller
"16, 10751",38757,en,tangled,21.511,2010-11-24,tangled,7.5,6407,2010,animation
"27, 80",41439,en,saw 3d,20.37,2010-10-28,saw: the final chapter,6.0,1488,2010,horror
"12, 14, 18, 10749",24021,en,the twilight saga: eclipse,20.34,2010-06-23,the twilight saga: eclipse,6.0,4909,2010,adventure
"28, 53, 878",20504,en,the book of eli,18.985,2010-01-11,the book of eli,6.7,3495,2010,action
"10402, 10749",52371,nl,lellebelle,18.586,2010-10-09,lellebelle,4.5,36,2010,music
"28, 18, 53",2502,en,the bourne supremacy,18.199,2004-07-23,the bourne supremacy,7.3,4367,2004,action
"18, 53, 9648",11324,en,shutter island,18.06,2010-02-18,shutter island,8.1,12625,2010,drama
"28, 18, 9648, 53",2501,en,the bourne identity,17.935,2002-06-14,the bourne identity,7.4,5406,2002,action
"28, 35",37834,en,knight and day,17.713,2010-06-23,knight and day,6.0,2494,2010,action
"12, 10751, 14",10140,en,the chronicles of narnia: the voyage of the dawn treader,17.382,2010-12-10,the chronicles of narnia: the voyage of the dawn treader,6.3,3196,2010,adventure
"18, 10749",41233,en,step up 3d,17.174,2010-08-06,step up 3d,6.7,1160,2010,drama
"53, 28, 12, 35, 80",34544,en,the a-team,17.097,2010-06-11,the a-team,6.3,2703,2010,thriller
"18, 36",45269,en,the king's speech,16.798,2010-09-06,the king's speech,7.7,5013,2010,drama
"28, 12, 10751, 14",10196,en,the last airbender,16.595,2010-07-01,the last airbender,4.6,2143,2010,action
"28, 878, 12, 53",34851,en,predators,16.216,2010-07-03,predators,6.1,1979,2010,action
18,37799,en,the social network,15.889,2010-10-01,the social network,7.2,6116,2010,drama
"28, 53",38234,en,undisputed iii: redemption,15.886,2010-05-22,undisputed iii: redemption,7.4,302,2010,action
"28, 18, 9648, 53",2503,en,the bourne ultimatum,15.62,2007-08-03,the bourne ultimatum,7.4,4440,2007,action
"12, 14, 28",18823,en,clash of the titans,15.574,2010-04-02,clash of the titans,5.7,3714,2010,adventure
"35, 10749",34806,en,the back-up plan,15.49,2010-04-23,the back-up plan,6.0,806,2010,comedy
"28, 12, 18",20662,en,robin hood,15.444,2010-05-14,robin hood,6.3,2569,2010,action
"35, 14, 10751",35019,en,nanny mcphee and the big bang,15.213,2010-08-20,nanny mcphee and the big bang,6.1,953,2010,comedy
"35, 12, 14, 16, 10751",10192,en,shrek forever after,15.041,2010-05-16,shrek forever after,6.1,3843,2010,comedy
35,37735,en,easy a,14.69,2010-09-17,easy a,6.8,4168,2010,comedy
"14, 12, 28, 35, 18",27022,en,the sorcerer's apprentice,14.463,2010-07-13,the sorcerer's apprentice,5.9,2879,2010,fantasy
"28, 35, 10749",22538,en,scott pilgrim vs. the world,14.383,2010-08-13,scott pilgrim vs. the world,7.3,3882,2010,action
35,38365,en,grown ups,14.291,2010-06-24,grown ups,6.1,3171,2010,comedy
"80, 18, 28, 53",41283,en,faster,14.172,2010-11-23,faster,6.2,895,2010,crime
27,7978,en,the wolfman,14.03,2010-02-12,the wolfman,5.7,1009,2010,horror
"28, 53",44048,en,unstoppable,14.01,2010-11-12,unstoppable,6.4,1913,2010,action
"18, 53",44214,en,black swan,13.745,2010-12-03,black swan,7.6,8374,2010,drama
"16, 12, 10751, 14",44683,en,tinker bell and the great fairy rescue,13.724,2010-09-21,tinker bell and the great fairy rescue,6.5,451,2010,animation
"10749, 18",61979,es,tres metros sobre el cielo,13.721,2010-12-20,three steps above heaven,7.5,960,2010,romance
"12, 28, 18",23759,en,centurion,13.548,2010-02-15,centurion,6.1,673,2010,adventure
"28, 35, 80",27581,en,the other guys,13.508,2010-08-06,the other guys,6.2,2187,2010,action
"80, 18, 53",23168,en,the town,13.476,2010-09-17,the town,7.1,2386,2010,crime
"28, 37, 18, 14, 53",20533,en,jonah hex,13.467,2010-06-18,jonah hex,4.6,708,2010,action
"12, 28, 878",20526,en,tron: legacy,13.459,2010-12-10,tron: legacy,6.3,4387,2010,adventure
"12, 14, 28, 10749",9543,en,prince of persia: the sands of time,13.44,2010-05-27,prince of persia: the sands of time,6.2,4040,2010,adventure
"14, 18",7980,en,the lovely bones,13.285,2010-01-15,the lovely bones,6.8,2226,2010,fantasy
18,705,en,all about eve,13.163,2000-10-06,all about eve,8.2,685,2000,drama
"18, 12, 37",44264,en,true grit,13.118,2010-12-22,true grit,7.2,2816,2010,drama
"53, 80, 27",43947,en,i spit on your grave,13.102,2010-10-08,i spit on your grave,6.3,977,2010,thriller
"28, 80",23483,en,kick-ass,13.08,2010-04-16,kick-ass,7.1,7540,2010,action
"35, 878, 16",51888,en,robot chicken: star wars episode iii,13.062,2010-12-19,robot chicken: star wars episode iii,7.5,60,2010,comedy
"28, 9648, 53",27576,en,salt,13.025,2010-07-23,salt,6.3,3240,2010,action
"10770, 16, 14, 10751",47626,en,legend of the boneknapper dragon,13.013,2010-10-15,legend of the boneknapper dragon,6.4,116,2010,10770
"28, 80, 53",26389,en,from paris with love,12.862,2010-02-05,from paris with love,6.2,1075,2010,action
"28, 16, 9648",40662,en,batman: under the red hood,12.704,2010-07-27,batman: under the red hood,7.7,756,2010,action
"16, 12, 14, 10751",42949,en,arthur 3: la guerre des deux mondes,12.679,2010-08-22,arthur 3: the war of the two worlds,5.6,865,2010,animation
"35, 10751, 14",23023,en,tooth fairy,12.65,2010-01-22,tooth fairy,5.3,1058,2010,comedy
"28, 35, 53",23631,en,machete,12.557,2010-09-03,machete,6.3,1862,2010,action
"80, 18, 9648, 10749",25376,es,el secreto de sus ojos,12.531,2010-04-16,the secret in their eyes,7.9,1141,2010,crime
35,35056,en,date night,12.498,2010-04-08,date night,6.0,1743,2010,comedy
"35, 18",41733,en,due date,12.445,2010-11-04,due date,6.3,2973,2010,comedy
"28, 878, 53, 80",31867,en,repo men,12.437,2010-03-19,repo men,6.2,976,2010,action
"16, 28",43641,en,superman/shazam!: the return of black adam,12.395,2010-11-09,superman/shazam!: the return of black adam,7.1,140,2010,animation
16,28874,ja,サマーウォーズ,12.275,2010-10-13,summer wars,7.5,447,2010,animation
"28, 12, 18, 10751",38575,en,the karate kid,12.256,2010-06-10,the karate kid,6.3,3140,2010,action
"35, 10751",33217,en,diary of a wimpy kid,12.256,2010-03-19,diary of a wimpy kid,6.0,736,2010,comedy
"9648, 27, 28",29427,en,the crazies,12.246,2010-02-26,the crazies,6.2,1036,2010,mystery
"28, 53, 80, 9648",33613,sv,luftslottet som sprängdes,12.235,2010-10-29,the girl who kicked the hornet's nest,7.0,705,2010,action
"35, 10749",39451,en,little fockers,12.153,2010-12-21,little fockers,5.6,1883,2010,comedy
"28, 12, 35, 80, 53",39514,en,red,12.082,2010-10-14,red,6.6,4162,2010,action
"18, 10749, 10752",22971,en,dear john,12.048,2010-02-04,dear john,6.8,2676,2010,drama
27,22894,en,legion,12.032,2010-01-22,legion,5.3,1154,2010,horror
"12, 14, 16, 878",37933,ja,ゲド戦記,12.005,2010-08-13,tales from earthsea,6.6,502,2010,adventure
"10749, 35",25195,en,leap year,11.821,2010-01-08,leap year,6.7,990,2010,romance
"35, 10749, 18",38408,en,life as we know it,11.806,2010-10-02,life as we know it,6.8,1748,2010,comedy
"18, 28, 53, 80, 9648",24253,sv,flickan som lekte med elden,11.655,2010-07-09,the girl who played with fire,7.0,881,2010,drama
"18, 53",38363,en,fair game,11.624,2010-05-20,fair game,6.6,384,2010,drama
"35, 10402, 10770",44244,en,camp rock 2: the final jam,11.542,2010-09-03,camp rock 2: the final jam,6.1,878,2010,comedy
"10752, 28, 12, 18, 53",22972,en,green zone,11.519,2010-03-11,green zone,6.4,1176,2010,war
"28, 12, 16",30061,en,justice league: crisis on two earths,11.498,2010-02-23,justice league: crisis on two earths,7.2,277,2010,action
"18, 10749",23169,en,remember me,11.453,2010-03-12,remember me,7.1,2079,2010,drama
"12, 18, 53",44115,en,127 hours,11.435,2010-11-05,127 hours,7.0,4469,2010,adventure
"9648, 14, 35, 12",47533,de,scooby-doo! curse of the lake monster,11.372,2010-10-15,scooby-doo! curse of the lake monster,5.6,171,2010,mystery
"35, 27",43593,en,piranha 3d,11.302,2010-08-20,piranha 3d,5.3,1029,2010,comedy
"12, 18, 28, 14",37861,en,valhalla rising,11.26,2010-07-16,valhalla rising,6.0,582,2010,adventure
"80, 18, 9648, 53",12201,en,edge of darkness,11.252,2010-01-29,edge of darkness,6.3,794,2010,crime
"14, 12, 28, 9648",35552,fr,les aventures extraordinaires d'adèle blanc-sec,11.221,2010-04-14,the extraordinary adventures of adèle blanc-sec,6.0,671,2010,fantasy
"35, 10749",32856,en,valentine's day,11.187,2010-02-11,valentine's day,5.8,1907,2010,comedy
"10749, 18, 53, 80",43539,en,the next three days,11.147,2010-11-19,the next three days,7.0,1469,2010,romance
"16, 10751, 10770",50393,en,kung fu panda holiday,11.083,2010-11-26,kung fu panda holiday,6.6,110,2010,animation
"18, 53, 9648",26388,en,buried,10.888,2010-09-24,buried,6.6,1487,2010,drama
"12, 28, 35, 53",41135,en,operation: endgame,10.799,2010-07-20,operation: endgame,4.9,88,2010,adventure
"35, 12, 10751, 14",38745,en,gulliver's travels,10.768,2010-12-25,gulliver's travels,5.1,1282,2010,comedy
"16, 12, 10751, 14",41216,en,legend of the guardians: the owls of ga'hoole,10.754,2010-09-24,legend of the guardians: the owls of ga'hoole,6.6,1223,2010,animation
"28, 35, 10751",23172,en,the spy next door,10.746,2010-01-15,the spy next door,5.7,650,2010,action
"35, 99, 28",16290,en,jackass 3d,10.715,2010-10-15,jackass 3d,6.3,655,2010,comedy
18,13078,en,the babysitters,10.71,2008-05-09,the babysitters,5.3,125,2008,drama
"28, 53, 80",15357,fr,banlieue 13 - ultimatum,10.661,2010-02-05,district 13: ultimatum,6.1,555,2010,action
"53, 27",10664,es,[rec]²,10.66,2010-07-09,[rec]²,6.5,920,2010,thriller
"12, 16, 10751, 35",51170,en,open season 3,10.614,2010-01-25,open season 3,5.5,237,2010,adventure
"35, 18, 10749",38357,en,morning glory,10.595,2010-11-10,morning glory,6.3,717,2010,comedy
"53, 80, 18, 28",25941,en,harry brown,10.555,2010-04-30,harry brown,6.8,505,2010,thriller
"35, 10751, 28, 14",39691,en,cats & dogs: the revenge of kitty galore,10.544,2010-07-30,cats & dogs: the revenge of kitty galore,4.9,273,2010,comedy
18,45317,en,the fighter,10.395,2010-12-17,the fighter,7.3,2325,2010,drama
"18, 10402, 10749",27,en,9 songs,10.332,2004-09-09,9 songs,4.9,170,2004,drama
"28, 53, 10749",37710,en,the tourist,10.307,2010-12-10,the tourist,6.1,3133,2010,action
"18, 10749",40080,en,the cutting edge: fire & ice,10.303,2010-03-14,the cutting edge: fire & ice,6.0,63,2010,drama
"16, 10751, 14",34134,en,barbie in a mermaid tale,10.252,2010-03-01,barbie in a mermaid tale,6.7,282,2010,animation
"18, 28, 36",14756,cn,葉問,10.23,2010-10-01,ip man,7.7,1906,2010,drama
"28, 35, 53, 10749",37821,en,killers,10.221,2010-06-04,killers,5.8,1314,2010,action
"35, 10749",38303,en,you again,10.208,2010-09-24,you again,6.2,734,2010,comedy
"27, 9648, 53",44040,en,devil,10.203,2010-09-17,devil,5.9,1516,2010,horror
"28, 12, 80, 9648, 53",34813,en,the losers,10.202,2010-04-23,the losers,6.2,844,2010,action
"18, 53, 80, 9648",44629,en,animal kingdom,10.188,2010-08-13,animal kingdom,6.8,399,2010,drama
"18, 80",33909,en,wall street: money never sleeps,10.177,2010-09-20,wall street: money never sleeps,6.0,797,2010,drama
"18, 53, 878",43933,en,monsters,10.175,2010-10-29,monsters,6.2,848,2010,drama
"878, 35, 12",23048,en,hot tub time machine,10.15,2010-03-26,hot tub time machine,6.0,1383,2010,science_fiction
"16, 35, 10751, 80, 9648",14447,en,a matter of loaf and death,10.1,2010-02-19,a matter of loaf and death,7.2,219,2010,animation
"18, 35, 10749",43347,en,love & other drugs,10.09,2010-11-24,love & other drugs,6.9,2509,2010,drama
"14, 18, 10751",40205,en,16 wishes,10.068,2010-06-25,16 wishes,5.9,688,2010,fantasy
"18, 10749, 878",42188,en,never let me go,10.012,2010-09-15,never let me go,6.8,1294,2010,drama
"35, 18",43923,en,it's kind of a funny story,10.01,2010-10-08,it's kind of a funny story,7.0,1324,2010,comedy
18,38167,en,eat pray love,9.991,2010-08-12,eat pray love,6.0,1208,2010,drama
"35, 18, 10749",37786,en,sex and the city 2,9.986,2010-05-27,sex and the city 2,5.9,809,2010,comedy
"35, 80, 18",37495,en,four lions,9.968,2010-11-05,four lions,7.0,621,2010,comedy
"35, 14, 10749",13477,en,when in rome,9.926,2010-01-29,when in rome,5.9,703,2010,comedy
"28, 35, 18",27573,en,the bounty hunter,9.861,2010-03-19,the bounty hunter,5.7,1627,2010,action
18,39013,en,winter's bone,9.824,2010-06-11,winter's bone,6.9,931,2010,drama
"18, 10749",52338,en,waiting for forever,9.819,2010-02-10,waiting for forever,5.7,172,2010,drama
"18, 27, 9648, 53",43931,en,my soul to take,9.808,2010-10-08,my soul to take,5.4,247,2010,drama
"27, 9648, 53",23437,en,a nightmare on elm street,9.795,2010-04-30,a nightmare on elm street,5.5,1408,2010,horror
"10749, 18",43949,en,flipped,9.781,2010-08-06,flipped,7.4,859,2010,romance
"18, 27, 9648",41402,en,let me in,9.716,2010-10-01,let me in,6.7,1061,2010,drama
"18, 53",38199,en,unthinkable,9.693,2010-06-15,unthinkable,6.7,623,2010,drama
53,44363,en,frozen,9.678,2010-02-05,frozen,5.8,987,2010,thriller
"28, 35, 80, 53",29564,en,smokin' aces 2: assassins' ball,9.565,2010-01-19,smokin' aces 2: assassins' ball,5.4,141,2010,action
"14, 18",34647,en,enter the void,9.563,2010-09-24,enter the void,7.3,773,2010,fantasy
"80, 27",55890,en,bereavement,9.55,2010-07-16,bereavement,5.3,71,2010,crime
99,44639,en,inside job,9.514,2010-10-08,inside job,7.8,466,2010,documentary
"80, 53",101669,en,mother's day,9.496,2010-09-23,mother's day,6.4,193,2010,crime
"18, 10749",37950,en,charlie st. cloud,9.454,2010-05-01,charlie st. cloud,6.9,1398,2010,drama
"35, 10751",35169,en,furry vengeance,9.45,2010-04-02,furry vengeance,4.6,283,2010,comedy
"80, 35, 18",45324,en,casino jack,9.432,2010-12-17,casino jack,6.1,149,2010,crime
"35, 10749, 10770, 10402",35558,en,starstruck,9.406,2010-02-14,starstruck,6.7,627,2010,comedy
"10749, 35",39285,en,beauty & the briefcase,9.405,2010-04-18,beauty & the briefcase,5.5,250,2010,romance
"18, 27, 9648, 53",36419,en,after.life,9.395,2009-11-07,after.life,5.7,416,2009,drama
"35, 18",44009,en,another year,9.394,2010-12-29,another year,7.0,150,2010,comedy
"35, 18, 10749",37056,en,letters to juliet,9.394,2010-05-14,letters to juliet,6.9,1706,2010,comedy
18,27585,en,rabbit hole,9.389,2010-12-16,rabbit hole,6.8,292,2010,drama
"28, 35",44147,en,wild target,9.355,2010-10-29,wild target,6.4,356,2010,action
"27, 18, 53",38358,en,the last exorcism,9.35,2010-08-27,the last exorcism,5.6,519,2010,horror
"53, 18",43549,en,the experiment,9.261,2010-07-15,the experiment,6.5,553,2010,thriller
"16, 10751, 35",50135,de,konferenz der tiere,9.258,2010-10-07,animals united,5.4,151,2010,animation
"18, 28, 35, 53, 80",26715,en,bitch slap,9.253,2010-01-08,bitch slap,4.7,148,2010,drama
"10749, 35",41211,fr,l'arnacoeur,9.241,2010-09-10,heartbreaker,6.6,761,2010,romance
"18, 10751, 10749",35690,en,the last song,9.237,2010-03-31,the last song,7.2,2199,2010,drama
35,48415,it,benvenuti al sud,9.188,2010-12-20,welcome to the south,6.7,1071,2010,comedy
"35, 27",46838,en,tucker and dale vs. evil,9.159,2010-01-22,tucker and dale vs. evil,7.3,1427,2010,comedy
"35, 10751, 16, 12",41515,en,yogi bear,9.096,2010-12-17,yogi bear,5.3,387,2010,comedy
"80, 18, 53",38542,en,the disappearance of alice creed,9.087,2010-04-30,the disappearance of alice creed,6.6,280,2010,crime
18,36950,en,you don't know jack,9.071,2010-04-14,you don't know jack,7.0,176,2010,drama
18,39486,en,secretariat,9.059,2010-10-08,secretariat,7.0,200,2010,drama
"80, 18, 53",27579,en,the american,9.042,2010-09-01,the american,5.8,690,2010,crime
"18, 10749",46705,en,blue valentine,8.994,2010-12-29,blue valentine,6.9,1677,2010,drama
"35, 27",40264,en,vampires suck,8.992,2010-08-18,vampires suck,4.1,658,2010,comedy
"18, 10752, 9648",46738,fr,incendies,8.973,2010-09-04,incendies,8.1,1034,2010,drama
"28, 80, 18, 53",22907,en,takers,8.969,2010-08-26,takers,6.2,605,2010,action
"16, 35, 878",278604,en,"family guy presents: something, something, something, dark side",8.956,2010-05-23,"family guy presents: something, something, something, dark side",7.1,194,2010,animation
"28, 12, 16, 10751, 878",45162,en,superman/batman: apocalypse,8.884,2010-09-28,superman/batman: apocalypse,7.0,291,2010,action
"878, 28",42684,en,skyline,8.847,2010-11-12,skyline,4.8,833,2010,science_fiction
"28, 35, 80",23742,en,cop out,8.82,2010-02-26,cop out,5.4,796,2010,action
"18, 53, 9648",28211,en,chloe,8.807,2010-03-26,chloe,5.9,940,2010,drama
"18, 27, 878",52015,en,stake land,8.799,2010-10-01,stake land,6.2,415,2010,drama
"10752, 18, 36, 28",50618,ru,брестская крепость,8.769,2010-11-11,fortress of war,7.3,75,2010,war
"99, 10751",59490,en,cave of forgotten dreams,8.762,2010-11-03,cave of forgotten dreams,7.3,143,2010,documentary
"12, 27, 53",34480,en,the descent: part 2,8.741,2010-04-27,the descent: part 2,6.0,480,2010,adventure
"28, 12, 53",44918,en,titanic ii,8.729,2010-08-24,titanic 2,3.2,90,2010,action
"28, 12, 16, 27",31967,en,dante's inferno: an animated epic,8.711,2010-02-09,dante's inferno: an animated epic,6.0,102,2010,action
"28, 80, 53",37645,fr,l'immortel,8.697,2010-03-24,22 bullets,6.5,508,2010,action
99,39452,en,exit through the gift shop,8.696,2010-01-24,exit through the gift shop,7.7,467,2010,documentary
"18, 10749",48650,es,habitación en roma,8.682,2010-11-11,room in rome,6.1,236,2010,drama
"18, 10749",42297,en,burlesque,8.676,2010-11-23,burlesque,7.1,1195,2010,drama
"35, 18",56272,en,elektra luxx,8.595,2010-03-14,elektra luxx,4.9,74,2010,comedy
"18, 53, 80",68341,ja,冷たい熱帯魚,8.582,2010-07-05,cold fish,6.6,113,2010,drama
"14, 18, 27, 10749",52587,de,wir sind die nacht,8.57,2010-11-11,we are the night,6.2,129,2010,fantasy
"18, 10749",56743,en,elena undone,8.531,2010-06-25,elena undone,7.2,81,2010,drama
"53, 27",34583,en,the final,8.517,2010-01-28,the final,5.6,131,2010,thriller
"27, 35, 53",43919,en,hatchet ii,8.513,2010-10-01,hatchet ii,5.5,160,2010,horror
35,45523,en,louis c.k.: hilarious,8.504,2010-01-26,louis c.k.: hilarious,8.0,127,2010,comedy
"80, 53, 35, 9648",27004,en,ca$h,8.503,2010-01-01,ca$h,5.8,112,2010,crime
"10751, 35",38579,en,marmaduke,8.487,2010-06-04,marmaduke,5.1,367,2010,family
35,32823,en,get him to the greek,8.485,2010-06-04,get him to the greek,5.9,980,2010,comedy
"10749, 878",59457,en,womb,8.483,2010-07-15,womb,6.1,159,2010,romance
"18, 80",48838,en,london boulevard,8.469,2010-11-12,london boulevard,5.9,409,2010,drama
"53, 18, 28, 80",40720,en,twelve,8.46,2010-07-30,twelve,5.9,147,2010,thriller
"14, 18, 28, 53, 16",71883,ja,レドライン,8.436,2010-09-23,redline,7.4,110,2010,fantasy
"35, 18",39781,en,the kids are all right,8.426,2010-07-09,the kids are all right,6.6,854,2010,comedy
"28, 12, 14, 27",12685,en,bloodrayne: the third reich,8.419,2010-11-05,bloodrayne: the third reich,3.7,83,2010,action
"9648, 53",11761,it,peacock,8.414,2010-04-20,peacock,6.1,104,2010,mystery
"14, 27, 53",46261,en,don't be afraid of the dark,8.405,2010-11-06,don't be afraid of the dark,5.5,550,2010,fantasy
"16, 18",41201,fr,l'illusionniste,8.404,2010-12-25,the illusionist,7.4,280,2010,animation
"18, 53",44113,en,stone,8.401,2010-10-22,stone,5.2,334,2010,drama
18,31007,en,welcome to the rileys,8.348,2010-10-29,welcome to the rileys,6.5,241,2010,drama
"35, 18, 14, 27, 9648",45649,en,rubber,8.319,2010-09-01,rubber,5.9,417,2010,comedy
"53, 28, 18",30618,en,bunraku,8.282,2010-09-01,bunraku,5.9,161,2010,thriller
"35, 18, 10749",38073,en,going the distance,8.281,2010-09-03,going the distance,6.0,394,2010,comedy
"27, 53",52274,es,los ojos de julia,8.268,2010-10-29,julia's eyes,6.7,415,2010,horror
"12, 14, 28, 37, 53",46528,en,the warrior's way,8.259,2010-12-03,the warrior's way,6.1,203,2010,adventure
"18, 10749",23830,en,last night,8.244,2010-09-18,last night,6.1,444,2010,drama
"35, 18, 9648",44718,en,get low,8.215,2010-01-22,get low,6.7,135,2010,comedy
"35, 18, 10749",40794,it,mine vaganti,8.202,2010-04-28,loose cannons,7.4,310,2010,comedy
"18, 10402",27586,en,the runaways,8.19,2010-03-19,the runaways,6.4,448,2010,drama
"18, 10749",51736,en,bloomington,8.176,2010-06-23,bloomington,6.6,65,2010,drama
"27, 53",41436,en,paranormal activity 2,8.163,2010-10-21,paranormal activity 2,5.7,1342,2010,horror
"12, 16, 10751, 35",43956,en,tom and jerry meet sherlock holmes,8.142,2010-08-24,tom and jerry meet sherlock holmes,6.6,19,2010,adventure
"18, 28, 53, 80",13635,fr,l'instinct de mort,8.131,2010-08-27,mesrine: killer instinct,7.4,434,2010,drama
"28, 27, 878",52454,en,mega shark vs. crocosaurus,8.129,2010-12-21,mega shark vs. crocosaurus,2.7,60,2010,action
"16, 18, 878, 53",36800,en,metropia,8.113,2010-05-12,metropia,6.3,82,2010,animation
18,44129,en,the company men,8.109,2010-10-21,the company men,6.6,349,2010,drama
"16, 10751, 35, 12, 10749",12819,en,alpha and omega,8.108,2010-09-17,alpha and omega,5.4,227,2010,animation
"10770, 18, 10751, 14",50479,en,avalon high,8.098,2010-11-12,avalon high,6.1,313,2010,10770
"27, 53",42941,en,30 days of night: dark days,8.086,2010-10-05,30 days of night: dark days,4.7,218,2010,horror
"16, 35, 10751",54559,en,minions: orientation day,8.053,2010-12-13,minions: orientation day,6.9,117,2010,animation
"16, 28, 878",30675,en,planet hulk,8.053,2010-02-02,planet hulk,6.7,185,2010,animation
"18, 53",44982,en,13,8.007,2010-03-12,13,5.7,392,2010,drama
"27, 878",29426,en,survival of the dead,7.964,2010-05-28,survival of the dead,4.8,199,2010,horror
18,53399,it,la solitudine dei numeri primi,7.959,2010-10-10,the solitude of prime numbers,5.8,218,2010,drama
"18, 28, 53",34179,zh,錦衣衛,7.948,2010-02-04,14 blades,6.6,87,2010,drama
"10751, 16",44874,en,barbie: a fashion fairytale,7.947,2010-09-14,barbie: a fashion fairytale,6.8,228,2010,family
"27, 35, 878, 53, 10770, 28",46020,en,sharktopus,7.943,2010-09-25,sharktopus,4.4,69,2010,horror
"18, 27, 53",39957,en,burning bright,7.938,2010-08-17,burning bright,6.0,113,2010,drama
"18, 14",44603,en,hereafter,7.886,2010-10-22,hereafter,5.9,848,2010,drama
"18, 9648, 53, 80, 10749",46503,en,all good things,7.871,2010-12-03,all good things,6.0,493,2010,drama
"18, 28, 35, 80",34769,en,defendor,7.863,2010-02-26,defendor,6.4,295,2010,drama
"27, 28, 53, 878",74471,en,the dead,7.841,2010-10-07,the dead,5.7,89,2010,horror
"16, 10751",40619,en,day & night,7.835,2010-06-17,day & night,7.7,438,2010,animation
"28, 35, 80",44425,hi,दबंग्ग,7.831,2010-09-10,dabangg,6.2,73,2010,action
"53, 9648",11439,en,the ghost writer,7.829,2010-02-12,the ghost writer,6.8,1135,2010,thriller
"18, 28, 53",12645,en,inhale,7.826,2010-10-01,inhale,6.1,63,2010,drama
35,35025,fr,le mac,7.825,2010-02-16,le mac,5.7,144,2010,comedy
"18, 53",8999,en,derailed,7.814,2005-11-11,derailed,6.2,500,2005,drama
"35, 10749",34016,en,she's out of my league,7.775,2010-03-12,she's out of my league,6.1,970,2010,comedy
27,26466,en,triangle,7.761,2010-02-02,triangle,6.8,1094,2010,horror
"18, 35",39356,en,boy,7.759,2012-03-02,boy,7.5,149,2012,drama
35,44269,fr,tout ce qui brille,7.756,2010-12-03,all that glitters,6.4,456,2010,comedy
"35, 10749, 18",41210,en,the switch,7.745,2010-08-20,the switch,6.1,1008,2010,comedy
"35, 18, 10749",39053,en,cyrus,7.735,2010-06-18,cyrus,6.0,201,2010,comedy
"35, 10749",136294,fr,"l'amour, c'est mieux à deux",7.701,2010-06-29,the perfect date,5.6,118,2010,comedy
"28, 53, 80, 18",15362,fr,l'ennemi public n°1,7.7,2010-09-03,mesrine: public enemy #1,7.4,404,2010,action
35,41382,en,lottery ticket,7.699,2010-08-20,lottery ticket,5.7,92,2010,comedy
18,45958,es,biutiful,7.697,2010-12-28,biutiful,7.2,546,2010,drama
"28, 12, 18, 36, 10752",8349,de,der rote baron,7.676,2010-02-11,the red baron,6.5,111,2010,action
"35, 18, 10749",41556,en,the romantics,7.676,2010-09-10,the romantics,4.9,145,2010,comedy
"28, 12, 35",37931,en,macgruber,7.666,2010-05-21,macgruber,5.3,270,2010,action
"27, 9648, 53",46441,en,mirrors 2,7.663,2010-10-19,mirrors 2,5.5,182,2010,horror
"27, 53, 9648",19237,en,kill theory,7.663,2010-01-29,kill theory,5.3,58,2010,horror
"36, 28",44092,zh,剑雨,7.621,2010-09-01,reign of assassins,6.8,87,2010,history
"18, 10749",26022,hi,my name is khan,7.619,2010-02-12,my name is khan,7.8,409,2010,drama
"18, 28",73211,no,kongen av bastøy,7.616,2010-12-20,king of devil's island,7.3,96,2010,drama
"28, 35, 12",35138,zh,大兵小将,7.607,2010-02-14,little big soldier,6.8,123,2010,action
"35, 18",39210,en,somewhere,7.596,2010-12-22,somewhere,6.1,376,2010,comedy
"35, 18, 10749",27583,en,greenberg,7.57,2010-03-26,greenberg,5.9,280,2010,comedy
"18, 10749, 10402",45272,en,country strong,7.567,2010-12-22,country strong,6.3,126,2010,drama
"10402, 14, 28, 10751",49852,en,the nutcracker in 3d,7.566,2010-11-24,the nutcracker in 3d,5.5,97,2010,music
"99, 10751",36970,en,oceans,7.532,2010-04-21,oceans,7.2,167,2010,documentary
18,45094,en,conviction,7.51,2010-10-15,conviction,7.2,297,2010,drama
"18, 12, 36",49009,en,the way back,7.503,2010-09-03,the way back,6.9,759,2010,drama
