genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,primary_genre
"36, 10402",488383,en,bruno mars: 24k magic live at the apollo,0.728,2017-11-29,bruno mars: 24k magic live at the apollo,7.7,3,2017,history
"80, 18, 10751",491035,en,juggernaut,0.728,2017-10-07,juggernaut,5.3,3,2017,crime
27,488242,en,killer christmas,0.727,2017-11-22,killer christmas,7.3,3,2017,horror
"80, 18",560955,en,backfire,0.727,2017-10-05,backfire,5.5,2,2017,crime
18,458187,es,en el séptimo día,0.724,2017-06-25,on the seventh day,7.0,2,2017,drama
18,356889,en,the great & the small,0.724,2016-03-31,the great & the small,6.0,4,2016,drama
"27, 35",444170,en,lasagna cat - telephone sex survey results,0.722,2017-02-23,lasagna cat - telephone sex survey results,10.0,1,2017,horror
99,452610,de,die silicon valley-revolution,0.722,2017-02-04,silicon valley revolution,7.0,1,2017,documentary
10402,446863,en,eric clapton: live in san diego (with special guest jj cale),0.721,2017-03-10,eric clapton: live in san diego (with special guest jj cale),1.0,1,2017,music
99,438486,en,the untold tales of armistead maupin,0.72,2017-03-11,the untold tales of armistead maupin,8.2,3,2017,documentary
"99, 35",496943,en,this is bob hope...,0.719,2017-12-29,this is bob hope...,8.0,1,2017,documentary
35,437538,fi,saatanan kanit,0.717,2017-01-20,fucking bunnies,7.0,2,2017,comedy
"9648, 53",446076,zh,嫌疑人x的献身,0.716,2017-03-31,the devotion of suspect x,7.0,3,2017,mystery
878,432467,en,giantess attack,0.716,2017-05-01,giantess attack,4.0,1,2017,science_fiction
35,438431,en,fits and starts,0.715,2017-03-10,fits and starts,7.0,3,2017,comedy
35,419160,en,roy wood jr.: father figure,0.715,2017-02-19,roy wood jr.: father figure,7.0,3,2017,comedy
99,357114,en,missing 411,0.715,2017-05-13,missing 411,6.0,11,2017,documentary
27,492384,en,devil's trail,0.711,2017-12-12,devil's trail,6.3,3,2017,horror
"99, 10402",79984,en,christmas in rockefeller center,0.711,2017-11-29,christmas in rockefeller center,4.0,3,2017,documentary
99,483828,en,wait for your laugh,0.71,2017-11-10,wait for your laugh,9.0,3,2017,documentary
99,446022,en,baltimore rising,0.71,2017-11-20,baltimore rising,7.0,3,2017,documentary
99,534598,en,american circumcision,0.71,2017-11-11,american circumcision,6.3,3,2017,documentary
18,536251,en,warrior road,0.709,2017-12-17,warrior road,6.0,2,2017,drama
"14, 16, 10751",476480,en,hanazuki: full of treasures,0.708,2017-10-06,hanazuki: full of treasures,8.0,3,2017,fantasy
27,499951,en,the theta girl,0.708,2017-10-13,the theta girl,6.0,3,2017,horror
"35, 14, 27",441669,en,butcher the bakers,0.708,2017-04-28,butcher the bakers,6.0,2,2017,comedy
99,511454,en,e il cibo va,0.707,2017-09-26,food on the go,6.7,3,2017,documentary
35,472722,en,party boat,0.707,2017-09-15,party boat,4.7,3,2017,comedy
99,475208,en,red trees,0.706,2017-09-15,red trees,7.5,2,2017,documentary
35,440774,en,inside you,0.706,2017-08-25,inside you,1.0,3,2017,comedy
99,438438,en,the blood is at the doorstep,0.705,2017-07-29,the blood is at the doorstep,5.5,3,2017,documentary
99,501609,en,american illuminati,0.705,2017-08-01,american illuminati,3.0,3,2017,documentary
99,454192,en,frank serpico,0.704,2017-11-01,frank serpico,6.0,2,2017,documentary
27,465480,en,media studies,0.704,2017-07-10,media studies,4.0,3,2017,horror
27,449882,en,claw,0.703,2017-05-25,claw,6.3,3,2017,horror
99,453975,en,the last animals,0.702,2017-04-22,the last animals,7.3,3,2017,documentary
"10749, 10770",514222,en,surprise me,0.702,2017-04-27,surprise me,7.0,3,2017,romance
27,466336,en,rasp,0.702,2017-04-24,rasp,4.5,3,2017,horror
"53, 10770",531239,en,splitting image,0.701,2017-10-26,splitting image,6.0,1,2017,thriller
"27, 9648",446215,en,the slayer,0.7,2017-03-03,the slayer,3.7,3,2017,horror
18,542067,en,hydrangea,0.699,2017-01-01,hydrangea,7.3,3,2017,drama
"14, 27",444628,fr,dr. jekyll and mr. hyde,0.699,2017-01-31,dr. jekyll and mr. hyde,5.0,3,2017,fantasy
"53, 27, 10402, 35",350916,en,spidarlings,0.697,2017-07-01,spidarlings,9.5,3,2017,thriller
