Gross Mean,Budget Mean,Budget Median,Budget Min,Popularity Mean
275311864.3455285,85685772.35772358,60000000.0,500000,17.54741463414634
344187599.2195122,109235365.85365854,99500000.0,1500000,18.468646341463415
380633009.0857143,93057142.85714285,80000000.0,8000000,16.128457142857144
69465779.03719008,25896678.400826447,20000000.0,546173,10.214347107438016
74956695.60655738,30101147.540983606,26000000.0,50000,13.299213114754098
17455539.0,3657692.3076923075,1500000.0,50000,5.6824615384615385
63631698.816720255,21610156.430868167,13000000.0,30000,10.47103536977492
265183069.76190478,61452380.952380955,36000000.0,2000000,12.59442857142857
216147352.5,81580769.23076923,58100000.0,2300000,15.890192307692306
30516975.2,37200000.0,14000000.0,10000000,10.315000000000001
73995879.03571428,15913095.238095239,5750000.0,100000,11.849928571428572
52190232.6,37200000.0,33000000.0,5000000,8.149799999999999
105825168.06666666,25646666.666666668,19000000.0,200000,15.837066666666665
66684569.93333333,23751666.666666668,18500000.0,50000,10.9957
275618545.8333333,72754027.77777778,52600000.0,20000,19.05552777777778
59735805.49315068,23204931.506849315,15000000.0,50000,12.585904109589041
109310118.8,39780000.0,35000000.0,1300000,11.4452
266498999.0,68650000.0,68650000.0,2300000,14.566500000000001
