id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,release_year,foreign_gross,movie_id,movie_id2
46,2016-06-17,finding dory,200000000,486295561,1021215193,2016,534919632,findingdory20160617,finding dory2016
47,2010-06-18,toy story 3,200000000,415004880,1068879522,2010,653874642,toystory320100618,toy story 32010
48,2013-05-03,iron man 3,200000000,408992272,1215392272,2013,806400000,ironman320130503,iron man 32013
49,2017-05-05,guardians of the galaxy vol 2,200000000,389813101,862316233,2017,472503132,guardiansofthegalaxyvol220170505,guardians of the galaxy vol 22017
50,2004-06-30,spider-man 2,200000000,373524485,795110670,2004,421586185,spiderman220040630,spider-man 22004
51,2010-03-05,alice in wonderland,200000000,334191110,1025491110,2010,691300000,aliceinwonderland20100305,alice in wonderland2010
52,2012-11-08,skyfall,200000000,304360277,1110526981,2012,806166704,skyfall20121108,skyfall2012
53,2013-06-21,monsters university,200000000,268488329,743588329,2013,475100000,monstersuniversity20130621,monsters university2013
54,2013-03-08,oz the great and powerful,200000000,234770996,490359051,2013,255588055,ozthegreatandpowerful20130308,oz the great and powerful2013
55,2014-05-23,x-men: days of future past,200000000,233921534,747862775,2014,513941241,xmendaysoffuturepast20140523,x-men: days of future past2014
56,2014-05-02,the amazing spider-man 2,200000000,202853933,708996336,2014,506142403,theamazingspiderman220140502,the amazing spider-man 22014
57,2011-06-24,cars 2,200000000,191450875,560155383,2011,368704508,cars220110624,cars 22011
58,2010-12-17,tron: legacy,200000000,172062763,400062763,2010,228000000,tronlegacy20101217,tron: legacy2010
59,2009-11-13,2012,200000000,166112167,757677748,2009,591565581,201220091113,20122009
60,2018-11-16,fantastic beasts: the crimes of grindelwald,200000000,159555901,652220086,2018,492664185,fantasticbeaststhecrimesofgrindelwald20181116,fantastic beasts: the crimes of grindelwald2018
61,2009-05-21,terminator salvation,200000000,125322469,365491792,2009,240169323,terminatorsalvation20090521,terminator salvation2009
62,2011-06-17,green lantern,200000000,116601172,219535492,2011,102934320,greenlantern20110617,green lantern2011
63,2010-05-28,prince of persia: sands of time,200000000,90759676,336359676,2010,245600000,princeofpersiasandsoftime20100528,prince of persia: sands of time2010
64,2011-06-29,transformers: dark of the moon,195000000,352390543,1123790543,2011,771400000,transformersdarkofthemoon20110629,transformers: dark of the moon2011
65,2017-06-09,the mummy,195000000,80101125,409953905,2017,329852780,themummy20170609,the mummy2017
66,2013-03-01,jack the giant slayer,195000000,65187603,197687603,2013,132500000,jackthegiantslayer20130301,jack the giant slayer2013
67,2015-04-03,furious 7,190000000,353007020,1518722794,2015,1165715774,furious720150403,furious 72015
68,2013-05-16,star trek into darkness,190000000,228778661,467381584,2013,238602923,startrekintodarkness20130516,star trek into darkness2013
69,2013-06-21,world war z,190000000,202359711,531514650,2013,329154939,worldwarz20130621,world war z2013
70,2013-05-10,the great gatsby,190000000,144840419,351040419,2013,206200000,thegreatgatsby20130510,the great gatsby2013
71,2009-11-06,disneyâs a christmas carol,190000000,137855863,315709697,2009,177853834,disneyâsachristmascarol20091106,disneyâs a christmas carol2009
72,2013-07-12,pacific rim,190000000,101802906,411002906,2013,309200000,pacificrim20130712,pacific rim2013
73,2015-11-25,the good dinosaur,187500000,123087120,333771037,2015,210683917,thegooddinosaur20151125,the good dinosaur2015
74,2008-05-02,iron man,186000000,318604126,585171547,2008,266567421,ironman20080502,iron man2008
75,2008-07-18,the dark knight,185000000,533720947,1001996207,2008,468275260,thedarkknight20080718,the dark knight2008
76,2008-05-22,indiana jones and the kingdom of the crystal skull,185000000,317101119,786635413,2008,469534294,indianajonesandthekingdomofthecrystalskull20080522,indiana jones and the kingdom of the crystal skull2008
77,2012-06-22,brave,185000000,237282182,554606532,2012,317324350,brave20120622,brave2012
78,2017-03-10,kong: skull island,185000000,168052812,561072059,2017,393019247,kongskullisland20170310,kong: skull island2017
79,2016-07-22,star trek beyond,185000000,158848340,335802233,2016,176953893,startrekbeyond20160722,star trek beyond2016
80,2017-10-06,blade runner 2049,185000000,92054159,259357408,2017,167303249,bladerunner204920171006,blade runner 20492017
81,2019-05-24,aladdin,182000000,246734314,619234314,2019,372500000,aladdin20190524,aladdin2019
